1,Ingrijirea tenului & fetei,
10,Crema si masca de fata,1
11,Curatare & Demachiere,1
12,Ingrijirea buzelor,1
2,Ingrijirea & igiena corpului,
20,Deodorante si antiperspirante,2
21,Sapun & Gel de dus,2
22,Crema si lotiuni de corp,2
23,Igiena intima,2
24,Depilare,2
3,Ingrijirea parului & Hair styling,
30,Sampon si balsam,3
31,Solutii ingrijire par,3
32,Hair Styling,3
33,Vopsea de par,3
4,Produse ingrijire barbati,
40,Spuma si gel de ras,4
41,After shave,4
5,Protectie solara,
50,Produse pentru bronzat si protectie solara,5
6,Produse igiena dentara,
60,Pasta de dinti ,6
61,Apa de gura,6
